project,textid,sender_city,genre
adsd-adart1,X103322,,Astronomical Diary
adsd-adart1,X103811,,Astronomical Diary
adsd-adart1,X103721,,Astronomical Diary
adsd-adart1,X103430,,Astronomical Diary
adsd-adart1,X103732,,Astronomical Diary
adsd-adart1,X103670,,Astronomical Diary
adsd-adart1,X104630,,Astronomical Diary
adsd-adart1,X103840,,Astronomical Diary
adsd-adart1,X103020,,Astronomical Diary
adsd-adart1,X103380,,Astronomical Diary
adsd-adart1,X103812,,Astronomical Diary
adsd-adart1,X103700,,Astronomical Diary
adsd-adart1,X102890,,Astronomical Diary
adsd-adart1,X102731,,Astronomical Diary
adsd-adart1,X103724,,Astronomical Diary
adsd-adart1,X102701,,Astronomical Diary
adsd-adart1,X103210,,Astronomical Diary
adsd-adart1,X103291,,Astronomical Diary
adsd-adart1,X102611,,Astronomical Diary
adsd-adart1,X103222,,Astronomical Diary
adsd-adart1,X103813,,Astronomical Diary
adsd-adart1,X103221,,Astronomical Diary
adsd-adart1,X103000,,Astronomical Diary
adsd-adart1,X102732,,Astronomical Diary
adsd-adart1,X103292,,Astronomical Diary
adsd-adart1,X103723,,Astronomical Diary
adsd-adart1,X102861,,Astronomical Diary
adsd-adart1,X103722,,Astronomical Diary
adsd-adart1,X103080,,Astronomical Diary
adsd-adart1,X102831,,Astronomical Diary
adsd-adart1,X103421,,Astronomical Diary
adsd-adart1,X103223,,Astronomical Diary
adsd-adart1,X103910,,Astronomical Diary
adsd-adart1,X102840,,Astronomical Diary
adsd-adart1,X102760,,Astronomical Diary
adsd-adart1,X103330,,Astronomical Diary
adsd-adart1,X104181,,Astronomical Diary
adsd-adart1,X103801,,Astronomical Diary
adsd-adart1,X103752,,Astronomical Diary
adsd-adart1,X104530,,Astronomical Diary
adsd-adart1,X103780,,Astronomical Diary
adsd-adart1,X103731,,Astronomical Diary
adsd-adart1,X102930,,Astronomical Diary
adsd-adart1,X102940,,Astronomical Diary
adsd-adart1,X103071,,Astronomical Diary
adsd-adart1,X102612,,Astronomical Diary
adsd-adart1,X103753,,Astronomical Diary
adsd-adart1,X102630,,Astronomical Diary
adsd-adart1,X103725,,Astronomical Diary
adsd-adart1,X103610,,Astronomical Diary
adsd-adart1,X102862,,Astronomical Diary
adsd-adart1,X103301,,Astronomical Diary
adsd-adart1,X103690,,Astronomical Diary
adsd-adart1,X103460,,Astronomical Diary
adsd-adart1,X103820,,Astronomical Diary
adsd-adart1,X102613,,Astronomical Diary
adsd-adart1,X102812,,Astronomical Diary
adsd-adart1,X103090,,Astronomical Diary
adsd-adart1,X102832,,Astronomical Diary
adsd-adart1,X102662,,Astronomical Diary
adsd-adart1,X103072,,Astronomical Diary
adsd-adart1,X102811,,Astronomical Diary
adsd-adart1,X104182,,Astronomical Diary
adsd-adart1,X103422,,Astronomical Diary
adsd-adart1,X102702,,Astronomical Diary
adsd-adart1,X103321,,Astronomical Diary
adsd-adart1,X103241,,Astronomical Diary
adsd-adart1,X103224,,Astronomical Diary
adsd-adart1,X102870,,Astronomical Diary
adsd-adart1,X102990,,Astronomical Diary
adsd-adart1,X102640,,Astronomical Diary
adsd-adart1,X103751,,Astronomical Diary
adsd-adart1,X103661,,Astronomical Diary
adsd-adart1,X103680,,Astronomical Diary
adsd-adart1,X103802,,Astronomical Diary
adsd-adart1,X102781,,Astronomical Diary
adsd-adart1,X102620,,Astronomical Diary
adsd-adart1,X102782,,Astronomical Diary
adsd-adart1,X103790,,Astronomical Diary
adsd-adart1,X103570,,Astronomical Diary
adsd-adart1,X103280,,Astronomical Diary
adsd-adart1,X106510,,Astronomical Diary
adsd-adart1,X105670,,Astronomical Diary
adsd-adart1,X102661,,Astronomical Diary
adsd-adart1,X102880,,Astronomical Diary
adsd-adart1,X103242,,Astronomical Diary
adsd-adart2,X201711,,Astronomical Diary
adsd-adart2,X202001,,Astronomical Diary
adsd-adart2,X202540,,Astronomical Diary
adsd-adart2,X202491,,Astronomical Diary
adsd-adart2,X202420,,Astronomical Diary
adsd-adart2,X201863,,Astronomical Diary
adsd-adart2,X201932,,Astronomical Diary
adsd-adart2,X202210,,Astronomical Diary
adsd-adart2,X202460,,Astronomical Diary
adsd-adart2,X202100,,Astronomical Diary
adsd-adart2,X201752,,Astronomical Diary
adsd-adart2,X201831,,Astronomical Diary
adsd-adart2,X201795,,Astronomical Diary
adsd-adart2,X202080,,Astronomical Diary
adsd-adart2,X202492,,Astronomical Diary
adsd-adart2,X201983,,Astronomical Diary
adsd-adart2,X201981,,Astronomical Diary
adsd-adart2,X201705,,Astronomical Diary
adsd-adart2,X202270,,Astronomical Diary
adsd-adart2,X202130,,Astronomical Diary
adsd-adart2,X202262,,Astronomical Diary
adsd-adart2,X201902,,Astronomical Diary
adsd-adart2,X202220,,Astronomical Diary
adsd-adart2,X202180,,Astronomical Diary
adsd-adart2,X201690,,Astronomical Diary
adsd-adart2,X202002,,Astronomical Diary
adsd-adart2,X201731,,Astronomical Diary
adsd-adart2,X202071,,Astronomical Diary
adsd-adart2,X201982,,Astronomical Diary
adsd-adart2,X202292,,Astronomical Diary
adsd-adart2,X201794,,Astronomical Diary
adsd-adart2,X201682,,Astronomical Diary
adsd-adart2,X201708,,Astronomical Diary
adsd-adart2,X202021,,Astronomical Diary
adsd-adart2,X201991,,Astronomical Diary
adsd-adart2,X201802,,Astronomical Diary
adsd-adart2,X202091,,Astronomical Diary
adsd-adart2,X201921,,Astronomical Diary
adsd-adart2,X201952,,Astronomical Diary
adsd-adart2,X201892,,Astronomical Diary
adsd-adart2,X201951,,Astronomical Diary
adsd-adart2,X202140,,Astronomical Diary
adsd-adart2,X201832,,Astronomical Diary
adsd-adart2,X201942,,Astronomical Diary
adsd-adart2,X201911,,Astronomical Diary
adsd-adart2,X201861,,Astronomical Diary
adsd-adart2,X202600,,Astronomical Diary
adsd-adart2,X201834,,Astronomical Diary
adsd-adart2,X201905,,Astronomical Diary
adsd-adart2,X201791,,Astronomical Diary
adsd-adart2,X202320,,Astronomical Diary
adsd-adart2,X201793,,Astronomical Diary
adsd-adart2,X201923,,Astronomical Diary
adsd-adart2,X202304,,Astronomical Diary
adsd-adart2,X202121,,Astronomical Diary
adsd-adart2,X201955,,Astronomical Diary
adsd-adart2,X201662,,Astronomical Diary
adsd-adart2,X202410,,Astronomical Diary
adsd-adart2,X202560,,Astronomical Diary
adsd-adart2,X202092,,Astronomical Diary
adsd-adart2,X201713,,Astronomical Diary
adsd-adart2,X201672,,Astronomical Diary
adsd-adart2,X202111,,Astronomical Diary
adsd-adart2,X202012,,Astronomical Diary
adsd-adart2,X202093,,Astronomical Diary
adsd-adart2,X201934,,Astronomical Diary
adsd-adart2,X202112,,Astronomical Diary
adsd-adart2,X201841,,Astronomical Diary
adsd-adart2,X201864,,Astronomical Diary
adsd-adart2,X201893,,Astronomical Diary
adsd-adart2,X201901,,Astronomical Diary
adsd-adart2,X201701,,Astronomical Diary
adsd-adart2,X201891,,Astronomical Diary
adsd-adart2,X201712,,Astronomical Diary
adsd-adart2,X202030,,Astronomical Diary
adsd-adart2,X201702,,Astronomical Diary
adsd-adart2,X201941,,Astronomical Diary
adsd-adart2,X201821,,Astronomical Diary
adsd-adart2,X202470,,Astronomical Diary
adsd-adart2,X201954,,Astronomical Diary
adsd-adart2,X201703,,Astronomical Diary
adsd-adart2,X202370,,Astronomical Diary
adsd-adart2,X202551,,Astronomical Diary
adsd-adart2,X202043,,Astronomical Diary
adsd-adart2,X201933,,Astronomical Diary
adsd-adart2,X201922,,Astronomical Diary
adsd-adart2,X202552,,Astronomical Diary
adsd-adart2,X201971,,Astronomical Diary
adsd-adart2,X202590,,Astronomical Diary
adsd-adart2,X202011,,Astronomical Diary
adsd-adart2,X201823,,Astronomical Diary
adsd-adart2,X201642,,Astronomical Diary
adsd-adart2,X202400,,Astronomical Diary
adsd-adart2,X201880,,Astronomical Diary
adsd-adart2,X201931,,Astronomical Diary
adsd-adart2,X201661,,Astronomical Diary
adsd-adart2,X201751,,Astronomical Diary
adsd-adart2,X201715,,Astronomical Diary
adsd-adart2,X202571,,Astronomical Diary
adsd-adart2,X202572,,Astronomical Diary
adsd-adart2,X202300,,Astronomical Diary
adsd-adart2,X201761,,Astronomical Diary
adsd-adart2,X201835,,Astronomical Diary
adsd-adart2,X202041,,Astronomical Diary
adsd-adart2,X201781,,Astronomical Diary
adsd-adart2,X202250,,Astronomical Diary
adsd-adart2,X201972,,Astronomical Diary
adsd-adart2,X201862,,Astronomical Diary
adsd-adart2,X201912,,Astronomical Diary
adsd-adart2,X201770,,Astronomical Diary
adsd-adart2,X201904,,Astronomical Diary
adsd-adart2,X201984,,Astronomical Diary
adsd-adart2,X202510,,Astronomical Diary
adsd-adart2,X201683,,Astronomical Diary
adsd-adart2,X201833,,Astronomical Diary
adsd-adart2,X201822,,Astronomical Diary
adsd-adart2,X202340,,Astronomical Diary
adsd-adart2,X201762,,Astronomical Diary
adsd-adart2,X202094,,Astronomical Diary
adsd-adart2,X202261,,Astronomical Diary
adsd-adart2,X201671,,Astronomical Diary
adsd-adart2,X201903,,Astronomical Diary
adsd-adart2,X201801,,Astronomical Diary
adsd-adart2,X201783,,Astronomical Diary
adsd-adart2,X201707,,Astronomical Diary
adsd-adart2,X201852,,Astronomical Diary
adsd-adart2,X201871,,Astronomical Diary
adsd-adart2,X202380,,Astronomical Diary
adsd-adart2,X201842,,Astronomical Diary
adsd-adart2,X202013,,Astronomical Diary
adsd-adart2,X201704,,Astronomical Diary
adsd-adart2,X201992,,Astronomical Diary
adsd-adart2,X201685,,Astronomical Diary
adsd-adart2,X201851,,Astronomical Diary
adsd-adart2,X202122,,Astronomical Diary
adsd-adart2,X201784,,Astronomical Diary
adsd-adart2,X202022,,Astronomical Diary
adsd-adart2,X201714,,Astronomical Diary
adsd-adart2,X201641,,Astronomical Diary
adsd-adart2,X201681,,Astronomical Diary
adsd-adart2,X201810,,Astronomical Diary
adsd-adart2,X201684,,Astronomical Diary
adsd-adart2,X201953,,Astronomical Diary
adsd-adart2,X201782,,Astronomical Diary
adsd-adart2,X202291,,Astronomical Diary
adsd-adart2,X201732,,Astronomical Diary
adsd-adart2,X202095,,Astronomical Diary
adsd-adart2,X201706,,Astronomical Diary
adsd-adart2,X201709,,Astronomical Diary
adsd-adart2,X201650,,Astronomical Diary
adsd-adart2,X201872,,Astronomical Diary
adsd-adart2,X201804,,Astronomical Diary
adsd-adart2,X202390,,Astronomical Diary
adsd-adart2,X201792,,Astronomical Diary
adsd-adart2,X202480,,Astronomical Diary
adsd-adart2,X201803,,Astronomical Diary
adsd-adart2,X202014,,Astronomical Diary
adsd-adart2,X202072,,Astronomical Diary
adsd-adart2,X202530,,Astronomical Diary
adsd-adart2,X202042,,Astronomical Diary
adsd-adart2,X202451,,Astronomical Diary
adsd-adart3,X301585,,Astronomical Diary
adsd-adart3,X301060,,Astronomical Diary
adsd-adart3,X300932,,Astronomical Diary
adsd-adart3,X301491,,Astronomical Diary
adsd-adart3,X301323,,Astronomical Diary
adsd-adart3,X301191,,Astronomical Diary
adsd-adart3,X301440,,Astronomical Diary
adsd-adart3,X301412,,Astronomical Diary
adsd-adart3,X300871,,Astronomical Diary
adsd-adart3,X301332,,Astronomical Diary
adsd-adart3,X301081,,Astronomical Diary
adsd-adart3,X301433,,Astronomical Diary
adsd-adart3,X300852,,Astronomical Diary
adsd-adart3,X301373,,Astronomical Diary
adsd-adart3,X300800,,Astronomical Diary
adsd-adart3,X300851,,Astronomical Diary
adsd-adart3,X301321,,Astronomical Diary
adsd-adart3,X301292,,Astronomical Diary
adsd-adart3,X301572,,Astronomical Diary
adsd-adart3,X300750,,Astronomical Diary
adsd-adart3,X300873,,Astronomical Diary
adsd-adart3,X301551,,Astronomical Diary
adsd-adart3,X300963,,Astronomical Diary
adsd-adart3,X300730,,Astronomical Diary
adsd-adart3,X301074,,Astronomical Diary
adsd-adart3,X301181,,Astronomical Diary
adsd-adart3,X301633,,Astronomical Diary
adsd-adart3,X301350,,Astronomical Diary
adsd-adart3,X301342,,Astronomical Diary
adsd-adart3,X301582,,Astronomical Diary
adsd-adart3,X301363,,Astronomical Diary
adsd-adart3,X301552,,Astronomical Diary
adsd-adart3,X301311,,Astronomical Diary
adsd-adart3,X301411,,Astronomical Diary
adsd-adart3,X300931,,Astronomical Diary
adsd-adart3,X301111,,Astronomical Diary
adsd-adart3,X301114,,Astronomical Diary
adsd-adart3,X301172,,Astronomical Diary
adsd-adart3,X301413,,Astronomical Diary
adsd-adart3,X301100,,Astronomical Diary
adsd-adart3,X300951,,Astronomical Diary
adsd-adart3,X301262,,Astronomical Diary
adsd-adart3,X301561,,Astronomical Diary
adsd-adart3,X301415,,Astronomical Diary
adsd-adart3,X301422,,Astronomical Diary
adsd-adart3,X301302,,Astronomical Diary
adsd-adart3,X301051,,Astronomical Diary
adsd-adart3,X301291,,Astronomical Diary
adsd-adart3,X301331,,Astronomical Diary
adsd-adart3,X300952,,Astronomical Diary
adsd-adart3,X300940,,Astronomical Diary
adsd-adart3,X301372,,Astronomical Diary
adsd-adart3,X301480,,Astronomical Diary
adsd-adart3,X301362,,Astronomical Diary
adsd-adart3,X300881,,Astronomical Diary
adsd-adart3,X300822,,Astronomical Diary
adsd-adart3,X300830,,Astronomical Diary
adsd-adart3,X300955,,Astronomical Diary
adsd-adart3,X301612,,Astronomical Diary
adsd-adart3,X301431,,Astronomical Diary
adsd-adart3,X301241,,Astronomical Diary
adsd-adart3,X301341,,Astronomical Diary
adsd-adart3,X301562,,Astronomical Diary
adsd-adart3,X300720,,Astronomical Diary
adsd-adart3,X300790,,Astronomical Diary
adsd-adart3,X300771,,Astronomical Diary
adsd-adart3,X300821,,Astronomical Diary
adsd-adart3,X300954,,Astronomical Diary
adsd-adart3,X301242,,Astronomical Diary
adsd-adart3,X300964,,Astronomical Diary
adsd-adart3,X301040,,Astronomical Diary
adsd-adart3,X301210,,Astronomical Diary
adsd-adart3,X301232,,Astronomical Diary
adsd-adart3,X301301,,Astronomical Diary
adsd-adart3,X301571,,Astronomical Diary
adsd-adart3,X300953,,Astronomical Diary
adsd-adart3,X300600,,Astronomical Diary
adsd-adart3,X301603,,Astronomical Diary
adsd-adart3,X300900,,Astronomical Diary
adsd-adart3,X301072,,Astronomical Diary
adsd-adart3,X301583,,Astronomical Diary
adsd-adart3,X301312,,Astronomical Diary
adsd-adart3,X301403,,Astronomical Diary
adsd-adart3,X301073,,Astronomical Diary
adsd-adart3,X301031,,Astronomical Diary
adsd-adart3,X300630,,Astronomical Diary
adsd-adart3,X301194,,Astronomical Diary
adsd-adart3,X301417,,Astronomical Diary
adsd-adart3,X301071,,Astronomical Diary
adsd-adart3,X301510,,Astronomical Diary
adsd-adart3,X301303,,Astronomical Diary
adsd-adart3,X301541,,Astronomical Diary
adsd-adart3,X301322,,Astronomical Diary
adsd-adart3,X301032,,Astronomical Diary
adsd-adart3,X300991,,Astronomical Diary
adsd-adart3,X301492,,Astronomical Diary
adsd-adart3,X301224,,Astronomical Diary
adsd-adart3,X301620,,Astronomical Diary
adsd-adart3,X301460,,Astronomical Diary
adsd-adart3,X300992,,Astronomical Diary
adsd-adart3,X301261,,Astronomical Diary
adsd-adart3,X301584,,Astronomical Diary
adsd-adart3,X301631,,Astronomical Diary
adsd-adart3,X301632,,Astronomical Diary
adsd-adart3,X301530,,Astronomical Diary
adsd-adart3,X301402,,Astronomical Diary
adsd-adart3,X300956,,Astronomical Diary
adsd-adart3,X301113,,Astronomical Diary
adsd-adart3,X301225,,Astronomical Diary
adsd-adart3,X300853,,Astronomical Diary
adsd-adart3,X301404,,Astronomical Diary
adsd-adart3,X301520,,Astronomical Diary
adsd-adart3,X301221,,Astronomical Diary
adsd-adart3,X301091,,Astronomical Diary
adsd-adart3,X301171,,Astronomical Diary
adsd-adart3,X300772,,Astronomical Diary
adsd-adart3,X301611,,Astronomical Diary
adsd-adart3,X301222,,Astronomical Diary
adsd-adart3,X301092,,Astronomical Diary
adsd-adart3,X301432,,Astronomical Diary
adsd-adart3,X301613,,Astronomical Diary
adsd-adart3,X301416,,Astronomical Diary
adsd-adart3,X301252,,Astronomical Diary
adsd-adart3,X300882,,Astronomical Diary
adsd-adart3,X301371,,Astronomical Diary
adsd-adart3,X300970,,Astronomical Diary
adsd-adart3,X301112,,Astronomical Diary
adsd-adart3,X301083,,Astronomical Diary
adsd-adart3,X301233,,Astronomical Diary
adsd-adart3,X301231,,Astronomical Diary
adsd-adart3,X301414,,Astronomical Diary
adsd-adart3,X301542,,Astronomical Diary
adsd-adart3,X301223,,Astronomical Diary
adsd-adart3,X301374,,Astronomical Diary
adsd-adart3,X301421,,Astronomical Diary
adsd-adart3,X301563,,Astronomical Diary
adsd-adart3,X300993,,Astronomical Diary
adsd-adart3,X300962,,Astronomical Diary
adsd-adart3,X301361,,Astronomical Diary
adsd-adart3,X300872,,Astronomical Diary
adsd-adart3,X301602,,Astronomical Diary
adsd-adart3,X300861,,Astronomical Diary
adsd-adart3,X300760,,Astronomical Diary
adsd-adart3,X301401,,Astronomical Diary
adsd-adart3,X300961,,Astronomical Diary
adsd-adart3,X301581,,Astronomical Diary
adsd-adart3,X300620,,Astronomical Diary
adsd-adart3,X301200,,Astronomical Diary
adsd-adart3,X301601,,Astronomical Diary
adsd-adart3,X301304,,Astronomical Diary
adsd-adart3,X300780,,Astronomical Diary
adsd-adart3,X301120,,Astronomical Diary
adsd-adart3,X301251,,Astronomical Diary
adsd-adart3,X300862,,Astronomical Diary
ario,Q007163,,Royal Inscription
ario,Q007250,,Royal Inscription
ario,Q007251,,Royal Inscription
ario,Q007158,,Royal Inscription
ario,Q007218,,Royal Inscription
ario,Q007216,,Royal Inscription
ario,Q006655,,Royal Inscription
ario,Q007222,,Royal Inscription
ario,Q007209,,Royal Inscription
ario,Q007211,,Royal Inscription
ario,Q007229,,Royal Inscription
ario,Q007212,,Royal Inscription
ario,Q006654,,Royal Inscription
ario,Q009254,,Administrative
ario,Q007282,,Royal Inscription
ario,Q007188,,Royal Inscription
ario,Q007185,,Royal Inscription
ario,Q007165,,Royal Inscription
ario,Q007157,,Royal Inscription
ario,Q007159,,Royal Inscription
ario,Q007280,,Royal Inscription
ario,Q007184,,Royal Inscription
ario,Q007164,,Royal Inscription
ario,Q006653,,Royal Inscription
ario,Q007214,,Royal Inscription
ario,Q007213,,Royal Inscription
ario,Q007197,,Royal Inscription
ario,Q007219,,Royal Inscription
ario,Q007221,,Royal Inscription
ario,Q009255,,Administrative
ario,Q009271,,Administrative
ario,Q007210,,Royal Inscription
ario,Q007232,,Royal Inscription
ario,Q009261,,Royal Inscription
atae-assurmisc,P254025,,Legal Transaction
atae-assurmisc,P250657,,Legal Transaction
atae-assurmisc,P342655,,Legal Transaction
atae-assurmisc,P342656,,Administrative Record
atae-assurmisc,P250905,,Legal Transaction
atae-assurmisc,P342657,,Administrative Record
atae-assurmisc,P254017,,Legal Transaction
atae-burmarina,P522622,,Legal Transaction
atae-burmarina,P522626,,Legal Transaction
atae-burmarina,P522625,,Legal Transaction
atae-burmarina,P522651,,Legal Transaction
atae-burmarina,P522617,,Legal Transaction
atae-burmarina,P522632,,Legal Transaction
atae-burmarina,P522650,,Legal Transaction
atae-burmarina,P522615,,Legal Transaction
atae-burmarina,P522656,,Legal Transaction
atae-burmarina,P522638,,Legal Transaction
atae-burmarina,P522645,,Legal Transaction
atae-burmarina,P522618,,Legal Transaction
atae-burmarina,P522652,,Legal Transaction
atae-burmarina,P522620,,Legal Transaction
atae-burmarina,P522624,,Legal Transaction
atae-burmarina,P522634,,Legal Transaction
atae-burmarina,P522628,,Legal Transaction
atae-burmarina,P522627,,Legal Transaction
atae-burmarina,P522631,,Legal Transaction
atae-burmarina,P522657,,Legal Transaction
atae-burmarina,P522636,,Legal Transaction
atae-burmarina,P522647,,Legal Transaction
atae-burmarina,P522635,,Legal Transaction
atae-burmarina,P522623,,Legal Transaction
atae-burmarina,P522649,,Legal Transaction
atae-burmarina,P522629,,Legal Transaction
atae-burmarina,P522653,,Legal Transaction
atae-burmarina,P522639,,Legal Transaction
atae-burmarina,P522621,,Legal Transaction
atae-burmarina,P522619,,Legal Transaction
atae-burmarina,P522616,,Legal Transaction
atae-burmarina,P522630,,Legal Transaction
atae-burmarina,P522641,,Legal Transaction
atae-burmarina,P522644,,Legal Transaction
atae-burmarina,P522642,,Legal Transaction
atae-burmarina,P522633,,Legal Transaction
atae-burmarina,P522640,,Legal Transaction
atae-burmarina,P522655,,Legal Transaction
